draft_id,pack_number,pick_number,card_name,card_name_norm,offered_card_gihwr,is_picked
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Lost in Space,LOST IN SPACE,0.562,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Frontline War-Rager,FRONTLINE WAR-RAGER,0.5,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Comet Crawler,COMET CRAWLER,0.537,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Thawbringer,THAWBRINGER,0.555,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Zealous Display,ZEALOUS DISPLAY,0.519,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Kavaron Skywarden,KAVARON SKYWARDEN,0.514,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Biosynthic Burst,BIOSYNTHIC BURST,0.5710000000000001,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Survey Mechan,SURVEY MECHAN,0.562,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Dubious Delicacy,DUBIOUS DELICACY,0.606,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Hemosymbic Mite,HEMOSYMBIC MITE,0.5379999999999999,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Pain for All,PAIN FOR ALL,0.547,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,2,Sunset Saboteur,SUNSET SABOTEUR,0.612,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Command Bridge,COMMAND BRIDGE,0.525,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Flight-Deck Coordinator,FLIGHT-DECK COORDINATOR,0.54,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Drix Fatemaker,DRIX FATEMAKER,0.5379999999999999,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Banishing Light,BANISHING LIGHT,0.581,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Perigee Beckoner,PERIGEE BECKONER,0.5670000000000001,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Illvoi Light Jammer,ILLVOI LIGHT JAMMER,0.552,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Nebula Dragon,NEBULA DRAGON,0.563,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Illvoi Infiltrator,ILLVOI INFILTRATOR,0.545,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Voidforged Titan,VOIDFORGED TITAN,0.532,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Honored Knight-Captain,HONORED KNIGHT-CAPTAIN,0.563,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,3,Inkmoth Nexus,INKMOTH NEXUS,0.519,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Selfcraft Mechan,SELFCRAFT MECHAN,0.565,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Squire's Lightblade,SQUIRE'S LIGHTBLADE,0.535,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Thawbringer,THAWBRINGER,0.555,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Comet Crawler,COMET CRAWLER,0.537,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Chrome Companion,CHROME COMPANION,0.531,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Starport Security,STARPORT SECURITY,0.536,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Umbral Collar Zealot,UMBRAL COLLAR ZEALOT,0.5720000000000001,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Dawnstrike Vanguard,DAWNSTRIKE VANGUARD,0.524,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Hemosymbic Mite,HEMOSYMBIC MITE,0.5379999999999999,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,4,Stomping Ground,STOMPING GROUND,0.556,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,5,Kav Landseeker,KAV LANDSEEKER,0.56,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,5,Auxiliary Boosters,AUXILIARY BOOSTERS,0.547,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,5,Biosynthic Burst,BIOSYNTHIC BURST,0.5710000000000001,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,5,Beamsaw Prospector,BEAMSAW PROSPECTOR,0.55,0
f5ddff29-b619-4ed4-b020-7e6310d1e62d,1,5,Thaumaton Torpedo,THAUMATON TORPEDO,0.494,0
