draft_id,arena_run_id,expansion,event_type,format,pack_number,pick_number,picked_card,picked_card_norm,picked_card_gihwr,ts
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,13,Starport Security,STARPORT SECURITY,0.536,2025-08-23T16:25:54.559131+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,14,Starport Security,STARPORT SECURITY,0.536,2025-08-23T16:25:54.715335+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,15,Plains,PLAINS,,2025-08-23T16:25:54.793583+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,16,Plains,PLAINS,,2025-08-23T16:25:54.843349+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,17,Starport Security,STARPORT SECURITY,0.536,2025-08-23T16:25:54.943627+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,18,Starport Security,STARPORT SECURITY,0.536,2025-08-23T16:25:55.000634+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,19,Plains,PLAINS,,2025-08-23T16:25:55.063519+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,20,Forest,FOREST,,2025-08-23T16:25:55.091760+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,21,Forest,FOREST,,2025-08-23T16:25:55.124889+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,22,Island,ISLAND,,2025-08-23T16:25:55.343979+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,23,Island,ISLAND,,2025-08-23T16:25:55.363848+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,24,Thrumming Hivepool,THRUMMING HIVEPOOL,0.5770000000000001,2025-08-23T16:25:55.461753+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,25,Forest,FOREST,,2025-08-23T16:25:55.495870+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,26,Island,ISLAND,,2025-08-23T16:25:55.538167+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,27,Weftblade Enhancer,WEFTBLADE ENHANCER,0.534,2025-08-23T16:25:55.584744+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,28,Island,ISLAND,,2025-08-23T16:25:55.752412+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,29,Island,ISLAND,,2025-08-23T16:25:55.773034+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,30,Weftblade Enhancer,WEFTBLADE ENHANCER,0.534,2025-08-23T16:25:55.952091+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,31,Weftblade Enhancer,WEFTBLADE ENHANCER,0.534,2025-08-23T16:25:56.028838+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,32,Plains,PLAINS,,2025-08-23T16:25:56.087635+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,33,Weftblade Enhancer,WEFTBLADE ENHANCER,0.534,2025-08-23T16:25:56.110039+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,34,Starport Security,STARPORT SECURITY,0.536,2025-08-23T16:25:56.256391+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,35,Starport Security,STARPORT SECURITY,0.536,2025-08-23T16:25:56.455249+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,36,Starport Security,STARPORT SECURITY,0.536,2025-08-23T16:25:56.494855+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,37,Seedship Impact,SEEDSHIP IMPACT,0.5760000000000001,2025-08-23T16:25:56.551346+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,38,Forest,FOREST,,2025-08-23T16:25:56.675428+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,39,Forest,FOREST,,2025-08-23T16:25:56.706849+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,40,Gene Pollinator,GENE POLLINATOR,0.5720000000000001,2025-08-23T16:25:56.744346+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,41,Gene Pollinator,GENE POLLINATOR,0.5720000000000001,2025-08-23T16:25:56.768186+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,42,Plains,PLAINS,,2025-08-23T16:25:56.849277+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,43,Plains,PLAINS,,2025-08-23T16:25:56.872686+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,44,Cryoshatter,CRYOSHATTER,0.56,2025-08-23T16:25:57.329955+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,45,Cryoshatter,CRYOSHATTER,0.56,2025-08-23T16:25:57.382488+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,46,Plains,PLAINS,,2025-08-23T16:25:57.527222+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,47,Island,ISLAND,,2025-08-23T16:25:57.556764+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,48,Thrumming Hivepool,THRUMMING HIVEPOOL,0.5770000000000001,2025-08-23T16:25:57.803687+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,49,Banishing Light,BANISHING LIGHT,0.581,2025-08-23T16:25:57.884196+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,50,Banishing Light,BANISHING LIGHT,0.581,2025-08-23T16:25:57.960343+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,51,Plains,PLAINS,,2025-08-23T16:25:58.071232+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,52,Gene Pollinator,GENE POLLINATOR,0.5720000000000001,2025-08-23T16:25:58.279735+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,53,Island,ISLAND,,2025-08-23T16:25:58.401117+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,54,Forest,FOREST,,2025-08-23T16:25:58.443990+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,55,Island,ISLAND,,2025-08-23T16:25:58.529772+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,56,Plains,PLAINS,,2025-08-23T16:25:58.564656+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,57,Sunstar Expansionist,SUNSTAR EXPANSIONIST,0.574,2025-08-23T16:25:59.049081+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,58,Sunstar Expansionist,SUNSTAR EXPANSIONIST,0.574,2025-08-23T16:25:59.125592+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,59,Plains,PLAINS,,2025-08-23T16:25:59.161329+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,60,Galactic Wayfarer,GALACTIC WAYFARER,0.584,2025-08-23T16:25:59.232671+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,61,Galactic Wayfarer,GALACTIC WAYFARER,0.584,2025-08-23T16:25:59.255510+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,62,Galactic Wayfarer,GALACTIC WAYFARER,0.584,2025-08-23T16:25:59.613321+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,63,Galactic Wayfarer,GALACTIC WAYFARER,0.584,2025-08-23T16:25:59.659424+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,64,Breeding Pool,BREEDING POOL,0.563,2025-08-23T16:25:59.771316+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,65,Forest,FOREST,,2025-08-23T16:25:59.808817+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,66,Forest,FOREST,,2025-08-23T16:25:59.852733+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,67,Plains,PLAINS,,2025-08-23T16:25:59.892361+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,68,Knight Luminary,KNIGHT LUMINARY,0.5760000000000001,2025-08-23T16:26:00.258828+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,69,Knight Luminary,KNIGHT LUMINARY,0.5760000000000001,2025-08-23T16:26:00.350186+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,70,Plains,PLAINS,,2025-08-23T16:26:00.461835+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,71,Forest,FOREST,,2025-08-23T16:26:00.611897+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,72,Forest,FOREST,,2025-08-23T16:26:00.650849+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,73,Island,ISLAND,,2025-08-23T16:26:00.714812+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,74,Plains,PLAINS,,2025-08-23T16:26:00.863773+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,75,Island,ISLAND,,2025-08-23T16:26:01.157688+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,76,Island,ISLAND,,2025-08-23T16:26:01.180096+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,77,Sunstar Expansionist,SUNSTAR EXPANSIONIST,0.574,2025-08-23T16:26:01.391963+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,78,Knight Luminary,KNIGHT LUMINARY,0.5760000000000001,2025-08-23T16:26:01.627753+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,79,Sunstar Expansionist,SUNSTAR EXPANSIONIST,0.574,2025-08-23T16:26:01.698889+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,80,Sunstar Expansionist,SUNSTAR EXPANSIONIST,0.574,2025-08-23T16:26:01.733566+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,81,Galactic Wayfarer,GALACTIC WAYFARER,0.584,2025-08-23T16:26:01.865377+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,82,Intrepid Tenderfoot,INTREPID TENDERFOOT,0.544,2025-08-23T16:26:01.933900+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,83,Galactic Wayfarer,GALACTIC WAYFARER,0.584,2025-08-23T16:26:01.989936+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,84,Galactic Wayfarer,GALACTIC WAYFARER,0.584,2025-08-23T16:26:02.043168+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,85,Lander,LANDER,,2025-08-23T16:26:02.238790+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,86,Forest,FOREST,,2025-08-23T16:26:02.267204+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,87,Forest,FOREST,,2025-08-23T16:26:02.376758+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,88,Forest,FOREST,,2025-08-23T16:26:02.475712+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,89,Seedship Agrarian,SEEDSHIP AGRARIAN,0.569,2025-08-23T16:26:02.553701+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,90,Forest,FOREST,,2025-08-23T16:26:02.619050+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,91,Lost in Space,LOST IN SPACE,0.562,2025-08-23T16:26:02.665498+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,92,Banishing Light,BANISHING LIGHT,0.581,2025-08-23T16:26:03.114769+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,93,Banishing Light,BANISHING LIGHT,0.581,2025-08-23T16:26:03.192382+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,94,Plains,PLAINS,,2025-08-23T16:26:03.255427+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,95,Seedship Agrarian,SEEDSHIP AGRARIAN,0.569,2025-08-23T16:26:03.389844+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,96,Forest,FOREST,,2025-08-23T16:26:03.454773+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,97,Island,ISLAND,,2025-08-23T16:26:03.524073+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,98,Forest,FOREST,,2025-08-23T16:26:03.557457+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,99,Human Soldier,HUMAN SOLDIER,,2025-08-23T16:26:03.634881+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,100,Codecracker Hound,CODECRACKER HOUND,0.598,2025-08-23T16:26:03.720812+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,101,Close Encounter,CLOSE ENCOUNTER,0.565,2025-08-23T16:26:03.764907+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,102,Thrumming Hivepool,THRUMMING HIVEPOOL,0.5770000000000001,2025-08-23T16:26:04.188264+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,103,Forest,FOREST,,2025-08-23T16:26:04.296465+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,104,Forest,FOREST,,2025-08-23T16:26:04.502258+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,105,Eusocial Engineering,EUSOCIAL ENGINEERING,0.57,2025-08-23T16:26:04.614986+00:00
