draft_id,pack_number,pick_number,picked_card,picked_card_gihwr,ts
0433c745-bba7-4005-b265-62a9e8317662,3,126,Thrumming Hivepool,0.5770000000000001,2025-08-23T16:26:07.925706+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,127,Plains,,2025-08-23T16:26:07.984824+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,128,Forest,,2025-08-23T16:26:08.119709+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,129,Illvoi Infiltrator,0.545,2025-08-23T16:26:08.297806+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,130,Forest,,2025-08-23T16:26:08.590207+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,131,Forest,,2025-08-23T16:26:08.823967+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,132,Forest,,2025-08-23T16:26:08.878750+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,133,Gene Pollinator,0.5720000000000001,2025-08-23T16:26:09.032001+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,134,Breeding Pool,0.563,2025-08-23T16:26:09.086506+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,135,Weftblade Enhancer,0.534,2025-08-23T16:26:09.741971+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,136,Weftblade Enhancer,0.534,2025-08-23T16:26:09.869629+00:00
0433c745-bba7-4005-b265-62a9e8317662,3,137,Plains,,2025-08-23T16:26:09.953377+00:00
