"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Anticausal Vestige","","R","7034","1.16","6386","1.16","38478","99.0%","56.2%","6729","59.3%","10072","59.8%","16801","59.6%","21423","53.5%","6.1pp"
"Tezzeret, Cruel Captain","","M","4334","1.42","2432","1.40","12206","85.8%","51.6%","2168","50.3%","3257","53.2%","5425","52.0%","6692","51.2%","0.8pp"
"All-Fates Stalker","W","U","41976","2.66","16374","2.96","89338","89.0%","56.9%","15461","58.0%","22729","61.0%","38190","59.8%","50806","54.6%","5.2pp"
"Astelli Reclaimer","W","R","11314","1.89","5199","1.92","26047","83.3%","55.3%","4321","52.3%","6789","59.0%","11110","56.4%","14841","54.3%","2.1pp"
"Auxiliary Boosters","W","C","236739","6.03","32246","8.76","98849","51.0%","54.9%","16358","52.5%","24395","56.2%","40753","54.7%","57879","54.9%","-0.2pp"
"Banishing Light","W","C","131117","3.15","35010","3.94","191461","89.7%","56.2%","32623","55.5%","48662","59.9%","81285","58.1%","109155","54.6%","3.5pp"
"Beyond the Quiet","W","R","12884","2.19","5606","2.17","26493","77.9%","56.2%","4667","56.2%","6922","60.8%","11589","58.9%","14765","54.0%","4.9pp"
"Brightspear Zealot","W","C","250744","6.93","28241","10.32","42720","25.5%","53.2%","7424","53.3%","10423","53.3%","17847","53.3%","24776","53.1%","0.2pp"
"Cosmogrand Zenith","W","M","3712","1.30","2938","1.27","17028","93.2%","57.8%","2997","64.8%","4623","63.0%","7620","63.7%","9396","52.9%","10.8pp"
"Dawnstrike Vanguard","W","U","65350","4.06","9620","5.62","38833","68.6%","52.8%","6344","50.3%","9611","53.8%","15955","52.4%","22878","53.1%","-0.7pp"
"Dockworker Drone","W","C","207165","4.97","31472","7.12","150756","80.4%","54.4%","27192","54.2%","35830","54.3%","63022","54.3%","87469","54.5%","-0.2pp"
"Dual-Sun Adepts","W","U","58164","3.54","13088","4.48","68274","86.8%","55.3%","11995","55.8%","16904","57.3%","28899","56.7%","39306","54.3%","2.4pp"
"Dual-Sun Technique","W","U","87790","5.56","9976","8.38","22756","38.7%","52.4%","3557","47.3%","5539","53.7%","9096","51.2%","13661","53.2%","-2.0pp"
"Emergency Eject","W","U","63575","3.90","9066","5.48","38330","71.8%","53.0%","6488","50.1%","9768","56.0%","16256","53.6%","21972","52.5%","1.1pp"
"Exalted Sunborn","W","M","4475","1.49","2738","1.46","14009","86.1%","54.9%","2434","56.1%","3601","59.6%","6035","58.2%","7959","52.3%","5.9pp"
"Exosuit Savior","W","C","236784","6.03","30032","8.87","83629","46.6%","53.5%","14260","49.7%","21201","54.5%","35461","52.6%","47986","54.2%","-1.6pp"
"Flight-Deck Coordinator","W","C","247637","6.72","27070","10.14","44240","27.2%","53.8%","7862","54.0%","10718","54.0%","18580","54.0%","25626","53.7%","0.3pp"
"Focus Fire","W","C","199700","4.78","34834","6.57","166873","78.9%","55.8%","28712","55.2%","41537","58.3%","70249","57.0%","95961","54.9%","2.2pp"
"Haliya, Guided by Light","W","R","11129","1.87","5397","1.88","29257","89.4%","56.4%","5066","59.2%","7261","59.5%","12327","59.4%","16316","53.4%","6.0pp"
