id,text
1,Deathtouch
2,Defender
3,Double strike
4,Enchant
5,Equip
6,First strike
7,Flash
8,Flying
9,Haste
10,Hexproof
11,Intimidate
12,Lifelink
13,Reach
14,Trample
15,Vigilance
21,Protection from
22,Shroud
30,Cycling
31,Echo
34,Kicker
35,Flashback
36,Madness
37,Morph
38,Fear
41,Storm
42,Affinity for
43,Entwine
44,Modular
46,Bushido
50,Ninjutsu
52,Convoke
53,Dredge
57,Replicate
62,Split second
63,Suspend
64,Vanishing
67,Delve
74,Changeling
75,Evoke
76,Hideaway
78,Reinforce
80,Persist
81,Wither
82,Retrace
83,Devour
84,Exalted
85,Unearth
86,Cascade
87,Annihilator
89,Rebound
90,Umbra armor
91,Infect
92,Battle cry
93,Living weapon
94,Undying
97,Overload
98,Scavenge
100,Cipher
101,Evolve
102,Extort
103,Fuse
104,Indestructible
114,Loyalty
136,Outlast
137,Prowess
142,Menace
143,Skulk
147,Emerge
149,Cast without paying mana cost
151,Devoid
152,"{o2}, Sacrifice CARDNAME: Draw a card."
153,Escalate
154,Fabricate
156,Crew
157,Improvise
159,Aftermath
160,Embalm
161,Tap For Improvise
162,Exert
163,Eternalize
164,Afflict
165,Ascend
166,SagaChapter
167,"As this Saga enters and after your draw step, add a lore counter."
170,Jump-start
171,Mentor
172,Tap For Convoke
173,Afterlife
174,Spectacle
175,Riot
177,Affinity for artifacts
178,Scry 1.
179,Scry 2.
180,Scry 3.
183,"{oT}, Sacrifice CARDNAME: Add one mana of any color."
184,Protection from the chosen color
185,Protection from white
186,Protection from blue
187,Protection from black
188,Protection from red
189,Protection from green
190,Hexproof from the chosen color
191,Hexproof from white
192,Hexproof from blue
193,Hexproof from black
194,Hexproof from red
195,Hexproof from green
197,"{o2}, {oT}, Sacrifice CARDNAME: You gain 3 life."
198,Sacrifice CARDNAME: Add one mana of any color.
199,Escape
202,Companion
203,Mutate
204,Protection from Dogs
206,Protection from the chosen card name
208,Foretell
209,Boast
210,"{o2}, Sacrifice CARDNAME: Scry 1, then draw a card."
211,Ward
213,You may cast this card from exile without paying its mana cost at the beginning of your next upkeep.
214,Decayed
215,Disturb
216,Daybound
217,Nightbound
220,Training
221,Cleave
222,Exploit
233,Islandwalk
234,Swampwalk
236,Forestwalk
237,Reconfigure
238,Compleated
239,"{o1}, {oT}, Discard a card, Sacrifice CARDNAME: Draw a card."
240,Blitz
241,Casualty
243,Reconfigure {Cost} (Attach to target creature you control.)
244,Reconfigure {Cost} (Unattach from a creature.)
247,Sacrifice this permanent at the beginning of the next end step.
248,"When this permanent is put into a graveyard from the battlefield, draw a card."
249,Starting intensity
251,Shield Counter Prevents Destruction
252,Shield Counter Prevents Damage
253,Double team
254,Specialize
255,Pay life equal to its mana value rather than pay its mana cost
259,{oT}: Add {oC}. This mana can't be spent to cast a nonartifact spell.
260,Read ahead
261,Enlist
262,Stun Counter
263,Prototype
264,Toxic
267,For Mirrodin!
268,Affinity for Equipment
269,Surveil 1.
270,Surveil 2.
271,Surveil 3.
273,Surveil 5.
274,Dash
275,Return this permanent to its owner's hand at the beginning of the next end step.
276,Battle Defense
277,Battle Protector Choice
278,Siege Defeated
279,{o2}: Transform CARDNAME.
287,Backup
288,Protection from colorless
301,Protection from the chosen card type
303,Bargain
304,"{o1}, {oT}, Sacrifice CARDNAME: Target creature you control explores. Activate only as a sorcery."
