multiverse_id,mtgo_id,set,collector_number,lang,rarity,name,mana_cost,cmc,type_line,artist,usd_price,usd_foil_price,eur_price,tix_price,image_uri,scryfall_uri,scryfall_id
,142615,EOE,1,en,R,Anticausal Vestige,{6},6.0,Creature — Eldrazi,Chase Stone,1.51,2.25,0.02,0.26,https://cards.scryfall.io/large/front/3/5/35372b69-6086-44e0-9f7c-681e362e5142.jpg?1752946556,https://scryfall.com/card/eoe/1/anticausal-vestige,35372b69-6086-44e0-9f7c-681e362e5142
,142617,EOE,2,en,M,"Tezzeret, Cruel Captain",{3},3.0,Legendary Planeswalker — Tezzeret,Chris Rahn,29.08,33.33,24.41,18.44,https://cards.scryfall.io/large/front/0/2/02e8e540-8aa3-4e6a-9a11-c3949cab5f0f.jpg?1754473212,https://scryfall.com/card/eoe/2/tezzeret-cruel-captain,02e8e540-8aa3-4e6a-9a11-c3949cab5f0f
,142619,EOE,3,en,U,All-Fates Stalker,{3}{W},4.0,Creature — Drix Assassin,Lius Lasahido,0.11,0.16,0.13,0.01,https://cards.scryfall.io/large/front/8/2/82ae4f7b-8122-4af6-8079-888eabf1a11e.jpg?1752946565,https://scryfall.com/card/eoe/3/all-fates-stalker,82ae4f7b-8122-4af6-8079-888eabf1a11e
,142621,EOE,4,en,R,Astelli Reclaimer,{3}{W}{W},5.0,Creature — Angel Warrior,Carly Milligan,0.31,0.41,0.02,0.01,https://cards.scryfall.io/large/front/4/f/4fb36405-cd28-432f-b0a4-e74ff8be928d.jpg?1752946568,https://scryfall.com/card/eoe/4/astelli-reclaimer,4fb36405-cd28-432f-b0a4-e74ff8be928d
,142623,EOE,5,en,C,Auxiliary Boosters,{4}{W},5.0,Artifact — Equipment,Dmitry Burmak,0.06,0.02,0.13,0.14,https://cards.scryfall.io/large/front/4/3/43706295-afd6-442c-8828-8cf978152701.jpg?1752946573,https://scryfall.com/card/eoe/5/auxiliary-boosters,43706295-afd6-442c-8828-8cf978152701
,142625,EOE,6,en,C,Banishing Light,{2}{W},3.0,Enchantment,Rovina Cai,0.04,0.07,0.09,0.01,https://cards.scryfall.io/large/front/c/4/c45f11cd-a0aa-4d14-aa21-57f0969f3e2b.jpg?1752946576,https://scryfall.com/card/eoe/6/banishing-light,c45f11cd-a0aa-4d14-aa21-57f0969f3e2b
,142627,EOE,7,en,R,Beyond the Quiet,{3}{W}{W},5.0,Sorcery,Yohann Schepacz,0.35,0.54,0.02,0.01,https://cards.scryfall.io/large/front/c/e/ce503869-8130-4afe-9691-4e90376b4bc4.jpg?1752946582,https://scryfall.com/card/eoe/7/beyond-the-quiet,ce503869-8130-4afe-9691-4e90376b4bc4
,142629,EOE,8,en,C,Brightspear Zealot,{2}{W},3.0,Creature — Human Soldier,Bryan Sola,0.02,0.07,0.03,0.01,https://cards.scryfall.io/large/front/e/7/e7f7541a-5910-4f33-8c1d-3507ce3a426e.jpg?1752946584,https://scryfall.com/card/eoe/8/brightspear-zealot,e7f7541a-5910-4f33-8c1d-3507ce3a426e
,142631,EOE,9,en,M,Cosmogrand Zenith,{2}{W},3.0,Creature — Human Soldier,Anna Steinbauer,18.64,21.82,12.94,3.63,https://cards.scryfall.io/large/front/b/3/b3c1e5e3-4e6b-456a-958c-7a75c38f8183.jpg?1752946590,https://scryfall.com/card/eoe/9/cosmogrand-zenith,b3c1e5e3-4e6b-456a-958c-7a75c38f8183
,142633,EOE,10,en,U,Dawnstrike Vanguard,{5}{W},6.0,Creature — Human Knight,Arif Wijaya,0.04,0.05,0.09,0.01,https://cards.scryfall.io/large/front/5/a/5a041722-9483-469f-9c17-7f0253b0db50.jpg?1752946591,https://scryfall.com/card/eoe/10/dawnstrike-vanguard,5a041722-9483-469f-9c17-7f0253b0db50
